codigo_ocorrencia2;aeronave_matricula;aeronave_tipo_equipamento;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;anv_motor_qtd;anv_motor_descricao_qtd;aeronave_pmd;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
88808;CCBGU;AVIÃO;BOEING COMPANY;B787-9;B789;JATO;2;BIMOTOR;253000;0;2018;CHILE;CHILE;GOVERNADOR ANDRÉ FRANCO MONTORO;JOHN F. KENNEDY INTERNATIONAL AIRPORT;SUBIDA;REGULAR;NENHUM;0
88804;CCBEN;AVIÃO;AIRBUS S.A.S.;A321-211;A321;JATO;2;BIMOTOR;89000;0;0;CHILE;CHILE;AEROPORTO INTERNACIONAL DE SANTIAGO;GOVERNADOR ANDRÉ FRANCO MONTORO;ESTACIONAMENTO;REGULAR;LEVE;0
88794;N412MC;AVIÃO;BOEING COMPANY;747-400 SERIES;B744;JATO;2;BIMOTOR;397000;0;0;ESTADOS UNIDOS;ESTADOS UNIDOS;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;TÁXI;REGULAR;NENHUM;0
88783;CCBAC;AVIÃO;AIRBUS S.A.S;A320-233;A323;JATO;2;BIMOTOR;242000;0;0;CHILE;CHILE;AEROPORTO INTERNACIONAL JORGE CHÁVEZ;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;LEVE;0
88769;PSGFC;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;2;BIMOTOR;75214;8;2007;BRASIL;BRASIL;GOVERNADOR ANDRÉ FRANCO MONTORO;DEPUTADO LUÍS EDUARDO MAGALHÃES;POUSO;REGULAR;NENHUM;0
88768;PTRDF;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PA32;PISTÃO;1;MONOMOTOR;1542;7;1980;BRASIL;BRASIL;JORDÃO;TARAUACÁ;SUBIDA;REGULAR;SUBSTANCIAL;0
88767;PTXRI;AVIÃO;CESSNA AIRCRAFT;U206E;C206;PISTÃO;1;MONOMOTOR;1633;6;1970;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;INDETERMINADA;PRIVADA;DESTRUÍDA;1
88766;PROOU;HELICÓPTERO;LEONARDO S.P.A;AW139;A139;TURBOEIXO;2;BIMOTOR;7000;NULL;2024;BRASIL;BRASIL;EURICO DE AGUIAR SALLES;AERÓDROMO NÃO CADASTRADO;POUSO;TÁXI AÉREO;LEVE;0
88765;PRGXN;AVIÃO;BOEING;737-8EH;B738;JATO;2;BIMOTOR;70533;199;2014;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;CONGONHAS;ARREMETIDA NO AR;REGULAR;NENHUM;0
88765;PSADE;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;0;2025;BRASIL;BRASIL;CONGONHAS;TANCREDO NEVES;DECOLAGEM;REGULAR;NENHUM;0
88764;PRMSJ;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;0;2013;BRASIL;BRASIL;FAZENDA TERRA PROMETIDA;AERÓDROMO NÃO CADASTRADO;POUSO;PRIVADA;SUBSTANCIAL;0
88762;PUSJB;AVIÃO;ZENAIR;STOL CH 701;ZZZZ;PISTÃO;1;MONOMOTOR;0;2;2025;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;CRUZEIRO;EXPERIMENTAL;SUBSTANCIAL;0
88761;PRNFN;AVIÃO;RAYTHEON AIRCRAFT;C90A;BE9L;TURBOÉLICE;2;BIMOTOR;4581;0;0;BRASIL;BRASIL;ARAGUAIANA;SENADOR PETRÔNIO PORTELLA;CIRCUITO DE TRÁFEGO;TÁXI AÉREO;NENHUM;0
88761;PRWSB;AVIÃO;LEARJET;45 (LEARJET 40);LJ40;JATO;2;BIMOTOR;9231;9;2003;BRASIL;BRASIL;SANTA GENOVEVA/GOIÂNIA;SENADOR PETRÔNIO PORTELLA;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
88760;PPDIL;HELICÓPTERO;ROBINSON HELICOPTER;R44 II;R44;PISTÃO;1;MONOMOTOR;1134;4;2010;BRASIL;BRASIL;SÃO GABRIEL;SÃO GABRIEL;TÁXI;PRIVADA;SUBSTANCIAL;0
88759;PRRCY;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;1;MONOMOTOR;757;2;1977;BRASIL;BRASIL;PARÁ DE MINAS;PARÁ DE MINAS;SUBIDA;INSTRUÇÃO;LEVE;0
88758;PRGPF;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;2;BIMOTOR;2155;7;1997;BRASIL;BRASIL;PATOS DE MINAS;MÁRIO RIBEIRO;POUSO;TÁXI AÉREO;NENHUM;0
88757;PSSBF;AVIÃO;EMBRAER;EMB-203;IPAN;PISTÃO;1;MONOMOTOR;1900;0;0;BRASIL;BRASIL;Fazenda Dona Vera;Fazenda Dona Vera;MANOBRA;AGRÍCOLA;SUBSTANCIAL;1
88756;PPZGI;AVIÃO;GEORGE DE REZENDE IPLINSKY;RV-10;ZZZZ;PISTÃO;1;MONOMOTOR;1224;4;2011;BRASIL;BRASIL;CATANDUVA;GENERAL LEITE DE CASTRO;APROXIMAÇÃO FINAL;EXPERIMENTAL;SUBSTANCIAL;0
88755;PTEYT;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-721C;P32R;PISTÃO;1;MONOMOTOR;1633;6;1979;BRASIL;BRASIL;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CAMPO DE MARTE - SP;SUBIDA;PRIVADA;DESTRUÍDA;3
88754;PTYYU;HELICÓPTERO;EUROCOPTER;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2000;BRASIL;BRASIL;SURUCUCU;SURUCUCU;POUSO;REGULAR;NENHUM;0
88750;PROTN;HELICÓPTERO;AIRBUS HELICOPTERS;EC175 B;EC75;TURBOEIXO;2;BIMOTOR;7800;18;2019;BRASIL;BRASIL;AERÓDROMO NÃO CADASTRADO;MARICÁ;INSPEÇÃO DE TRÂNSITO/INTERVOO;REGULAR;NENHUM;0
88749;PSILU;AVIÃO;RAYTHEON AIRCRAFT;400A;BE40;JATO;2;BIMOTOR;7394;NULL;2005;BRASIL;BRASIL;BARTOLOMEU LISANDRO;SANTOS DUMONT;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
88747;PRWZR;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;1;MONOMOTOR;3995;NULL;NULL;BRASIL;BRASIL;PARATI;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;NENHUM;0
88746;PSPCM;AVIÃO;PIPER AIRCRAFT;PA-46-500TP;P46T;TURBOÉLICE;1;MONOMOTOR;2310;NULL;2014;BRASIL;BRASIL;SALGADO FILHO;SALGADO FILHO;TÁXI;POLICIAL;LEVE;0
88744;PTXTX;AVIÃO;BEECH AIRCRAFT;C90;BE9L;TURBOÉLICE;2;BIMOTOR;4377;NULL;1981;BRASIL;BRASIL;PINTO MARTINS;PRESIDENTE CASTRO PINTO;POUSO;PRIVADA;NENHUM;0
88743;PSGPJ;AVIÃO;BOEING;737-8 MAX;B38M;JATO;2;BIMOTOR;82644;197;2022;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;ZUMBI DOS PALMARES;DECOLAGEM;REGULAR;LEVE;0
88742;PROHE;HELICÓPTERO;SIKORSKY;S-92A;S92;TURBOEIXO;2;BIMOTOR;12020;22;2012;BRASIL;BRASIL;SÃO TOMÉ;AERÓDROMO NÃO CADASTRADO;PARTIDA DO MOTOR;REGULAR;LEVE;0
88741;PRMBN;AVIÃO;AIRBUS;A319-132;A319;JATO;2;BIMOTOR;75500;154;2007;BRASIL;BRASIL;SANTOS DUMONT;CONGONHAS;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
88740;PTRLL;AVIÃO;NEIVA;EMB-721D;P32R;PISTÃO;1;MONOMOTOR;1633;6;1981;BRASIL;BRASIL;PORTO SEGURO;MÁRIO RIBEIRO;POUSO;PRIVADA;NENHUM;0
88739;PRHPM;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;1;MONOMOTOR;2250;6;2010;BRASIL;BRASIL;DEPUTADO LUÍS EDUARDO MAGALHÃES;JACOBINA;CRUZEIRO;POLICIAL;LEVE;0
88738;PRMYT;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;2;BIMOTOR;77000;184;2012;BRASIL;BRASIL;PRESIDENTE JUSCELINO KUBITSCHEK;SALGADO FILHO;CRUZEIRO;REGULAR;NENHUM;0
88737;PRYRY;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;JATO;2;BIMOTOR;77000;182;2019;BRASIL;BRASIL;PORTO SEGURO;LEITE LOPES;DESCIDA;REGULAR;NENHUM;0
88736;PSAEC;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;2;BIMOTOR;61200;143;2019;BRASIL;BRASIL;ANTONIO CARLOS JOBIM / GALEÃO;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
88736;PSCBC;AVIÃO;EMBRAER;EMB-810C;PA34;;2;BIMOTOR;2073;0;0;BRASIL;BRASIL;NÃO IDENTIFICADO;NÃO IDENTIFICADO;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
88734;PRMHP;AVIÃO;AIRBUS;A320-214;A320;JATO;2;BIMOTOR;77000;184;2007;BRASIL;BRASIL;MARECHAL CUNHA MACHADO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
88733;PPLMP;AVIÃO;CESSNA AIRCRAFT;150J;C150;PISTÃO;1;MONOMOTOR;726;2;1964;BRASIL;BRASIL;AEROCLUBE DE SANTA CATARINA;AEROCLUBE DE SANTA CATARINA;APROXIMAÇÃO FINAL;INSTRUÇÃO;NENHUM;0
88733;PUMCL;ULTRALEVE;JEFFERSON A. M. CAMPELO;VIMANA R-12;ULAC;PISTÃO;1;MONOMOTOR;506;2;2003;BRASIL;BRASIL;CONDOMÍNIO GUAPORÉ II;AEROCLUBE DE SANTA CATARINA;APROXIMAÇÃO FINAL;EXPERIMENTAL;NENHUM;0
